,Groupe,Zone
0,1,États-Unis d'Amérique
1,1,Brésil
2,2,"Chine, continentale"
3,3,Inde
4,4,Afghanistan
5,4,Niger
6,4,Namibie
7,4,Mozambique
8,4,Mongolie
9,4,Mauritanie
10,4,Mali
11,4,Maldives
12,4,Malawi
13,4,Madagascar
14,4,Éthiopie
15,4,Liban
16,4,Lesotho
17,4,Kiribati
18,4,Kirghizistan
19,4,Kenya
20,4,Iraq
21,4,Indonésie
22,4,Haïti
23,4,Guinée-Bissau
24,4,Guinée
25,4,Nigéria
26,4,Népal
27,4,Oman
28,4,Ouganda
29,4,Zimbabwe
30,4,Zambie
31,4,Yémen
32,4,Vanuatu
33,4,Turkménistan
34,4,Tunisie
35,4,Togo
36,4,Timor-Leste
37,4,Tchad
38,4,Tadjikistan
39,4,Ghana
40,4,Sénégal
41,4,Sierra Leone
42,4,Sao Tomé-et-Principe
43,4,République-Unie de Tanzanie
44,4,République populaire démocratique de Corée
45,4,République démocratique populaire lao
46,4,République centrafricaine
47,4,Rwanda
48,4,Paraguay
49,4,Pakistan
50,4,Ouzbékistan
51,4,Soudan
52,4,Gambie
53,4,Libéria
54,4,Bénin
55,4,Algérie
56,4,Angola
57,4,Azerbaïdjan
58,4,Bangladesh
59,4,Botswana
60,4,Burkina Faso
61,4,Cabo Verde
62,4,Cambodge
63,4,Cameroun
64,4,Côte d'Ivoire
65,4,Djibouti
66,4,Îles Salomon
67,4,Eswatini
68,5,Belgique
69,5,Chine - RAS de Hong-Kong
70,5,Allemagne
71,5,France
72,5,Japon
73,5,Mexique
74,5,Émirats arabes unis
75,5,Pays-Bas
76,5,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
77,5,Arabie saoudite
78,6,Guatemala
79,6,Serbie
80,6,Barbade
81,6,Samoa
82,6,Sainte-Lucie
83,6,Slovaquie
84,6,Espagne
85,6,Saint-Kitts-et-Nevis
86,6,Slovénie
87,6,Belize
88,6,Bolivie (État plurinational de)
89,6,République dominicaine
90,6,République de Moldova
91,6,République de Corée
92,6,Bosnie-Herzégovine
93,6,Finlande
94,6,Saint-Vincent-et-les Grenadines
95,6,Bahamas
96,6,Suriname
97,6,Suisse
98,6,Afrique du Sud
99,6,Équateur
100,6,Égypte
101,6,Albanie
102,6,Viet Nam
103,6,Venezuela (République bolivarienne du)
104,6,Grenade
105,6,Uruguay
106,6,Ukraine
107,6,Turquie
108,6,Antigua-et-Barbuda
109,6,Trinité-et-Tobago
110,6,Argentine
111,6,Arménie
112,6,Thaïlande
113,6,Tchéquie
114,6,Australie
115,6,Autriche
116,6,Grèce
117,6,Suède
118,6,Roumanie
119,6,Sri Lanka
120,6,Pérou
121,6,Pologne
122,6,Polynésie française
123,6,Costa Rica
124,6,Macédoine du Nord
125,6,Luxembourg
126,6,Lituanie
127,6,Croatie
128,6,Cuba
129,6,Lettonie
130,6,Honduras
131,6,Koweït
132,6,Danemark
133,6,Hongrie
134,6,Dominique
135,6,Kazakhstan
136,6,Jordanie
137,6,Jamaïque
138,6,Italie
139,6,Israël
140,6,Islande
141,6,Irlande
142,6,El Salvador
143,6,Iran (République islamique d')
144,6,Malaisie
145,6,Congo
146,6,Colombie
147,6,Chypre
148,6,Estonie
149,6,Philippines
150,6,Bulgarie
151,6,Panama
152,6,Fidji
153,6,Bélarus
154,6,Gabon
155,6,Guyana
156,6,Géorgie
157,6,Nouvelle-Zélande
158,6,Portugal
159,6,Nouvelle-Calédonie
160,6,Canada
161,6,Nicaragua
162,6,Chili
163,6,Myanmar
164,6,Monténégro
165,6,Chine - RAS de Macao
166,6,"Chine, Taiwan Province de"
167,6,Maurice
168,6,Maroc
169,6,Malte
170,6,Norvège
171,6,Fédération de Russie
